Title,URL,Description
What China’s baby woes mean for its economic ambitions,https://www.bbc.com/news/business-64897827,"['Crystal, who wished to withhold her real name, is a 26-year-old living in Beijing. Unlike most women from previous generations in China, she is unmarried and currently faces no pressure to tie the knot.', 'When asked why that is, she laughs: ""I think it\'s because my family members are either never married or divorced.""', ""It appears to be a common sentiment among young urban women in China. A 2021 survey by China's Communist Youth League of almost 3,000 people between the ages of 18 and 26, found that more than 40% of young women living in cities did not plan to marry - compared to less than 25% of men. This is in part due to rising childcare costs and the ghosts of China's one-child policy."", '""Having just one child or no children has become the social norm in China,"" says Yi Fuxian, a senior scientist in obstetrics and gynaecology at the University of Wisconsin-Madison, and a prominent critic of the one-child policy.', '""The economy, social environment, education and almost everything else relates back to the one-child policy,"" he adds.', ""For Beijing, this is a worrying trend because China's population is declining. It's birth rate has been slowing for years but in 2022 its population fell for the first time in 60 years."", ""That's bad news for the world's second-largest economy, where the workforce is already shrinking and an ageing population is beginning to put pressure on the state's welfare services."", ""China's working age population - those between the ages of 16 and 59 - currently stands at about 875 million. They account for a little more than 60% of the country's people."", 'But the figure is expected to fall further, by another 35 million, over the next five years, according to an official estimate by the government in 2021.', '""China\'s demographic structure in 2018 was similar to that of Japan\'s in 1992,"" Mr Yi said. ""And China\'s [demographic structure] in 2040 will be similar to Japan\'s in 2020.""', ""Until last year, many economists had assumed China's growth would surpass that of the US by the end of the decade - a move which would cap the country's extraordinary economic ascent."", 'But Mr Yi says that is now looking unlikely, adding ""By 2031-2035, China will be doing worse than the US on all demographic metrics, and in terms of economic growth"".', ""The average age in China is now 38. But as its population ages and birth rates plummet further, there are concerns that China's workforce will eventually be unable to support those who have already retired."", 'The retirement age for men in China is 60 and for women, it is 55. Currently, those above 60 make up almost a fifth of the population. In Japan, which has one of the fastest ageing populations in the world, nearly a third of the people are 65 or older.', '""Population ageing is not unique to China but the strain on China\'s pension system is a lot more acute,"" says Louise Loo, a senior economist with Oxford Economics.', 'She says the number of retirees has already exceeded the number of contributors, leading to a drop in contributions to the pension fund since 2014.', ""The country's pension fund is administered at a provincial level and on a pay-as-you-work basis - that is, contributions from the workforce pay the retirees' pensions."", ""So Beijing, aware of these cracks in its system, created a fund in 2018 to shift pension pay-outs from richer provinces like Guangdong to those facing a deficit. But in 2019 a report by the Chinese Academy of Social Sciences predicted that because of its shrinking workforce, the country's main pension fund would be depleted by 2035."", 'Then in 2022 China launched its first private pension scheme in 36 cities, allowing individuals to open retirement accounts at banks to buy pension products like mutual funds.', ""But Ms Loo says it's unclear if many Chinese people, who typically invest savings in more traditional avenues such as property, would turn instead to private pension funds."", 'These problems are not unique to China - Japan and South Korea both have a greying population and a shrinking workforce.', 'Mr Yi noted that Beijing is poised to replicate Tokyo\'s policies to lower parenting costs but, he adds, ""China, which is \'getting old before it gets rich\' does not even have the financial resources to fully follow Japan\'s path.""', 'And this is not the only thing troubling Beijing. There\'s also a growing online youth movement to ""lie flat"". It calls on workers to reject the struggle for career success and promises release from the pressures of life and work in a fast-paced capitalist society. Add to the mix a high youth unemployment rate, which peaked last July when 20% of those aged between 15 and 24 were jobless.', 'As Mr Yi puts it: ""The labour force is the flour and the pension system is the skill of making bread. Without enough flour, it is impossible to make enough bread, even with the best bread-making skills.""']"
Multi-billion dollar rescue deal for First Republic bank,https://www.bbc.com/news/business-64973321,"['A group of big US banks has injected $30bn (£24.8bn) into a smaller regional bank, First Republic, which had been seen as at risk of failure.', 'The move came as authorities in the US are trying to quell panic over the health of the banking system, after a series of bank collapses in the US.', 'Worries about the sector have spread globally, raising fears of a crisis.', 'US regulators called the move ""most welcome"", while the banks said their action reflected their ""confidence"".', 'They said the banking system had plenty of cash and made big profits.', '""Recent events did nothing to change this,"" they said. ""The actions of America\'s largest banks reflect their confidence in the country\'s banking system.""', 'Reports of plans for the aid from the 11 banks, led by JP Morgan and Citigroup, helped lift financial markets and sent shares in First Republic surging more than 20% at one point, triggering trading halts.', 'But a sell-off started again in after-hours trade in a sign that concerns remain.', 'The San Francisco-based firm had seen its share price plunge nearly 70% over the last week, as investors worried it was the next bank at risk of a rush of customers withdrawing their deposits.', '""This show of support by a group of large banks is most welcome, and demonstrates the resilience of the banking system,"" US financial officials said.', ""Problems in the banking sector surfaced in the US last week when Silicon Valley Bank (SVB), the country's 16th-largest lender, collapsed in the biggest failure of a US bank since 2008."", ""That was followed two days later by the failure of New York's Signature Bank."", 'Authorities stepped in to guarantee deposits beyond typical limits in an effort to head off further runs on bank deposits, but financial markets have remained jumpy.', 'In a sign of strains in the system, the US central bank reported a surge in emergency lending to banks, with $318bn in outstanding loans as of Wednesday, up from $15bn a week earlier.', 'That included roughly $12bn offered through a fund created after the SVB collapse.', '""The size of the spike in the Fed\'s emergency lending underlines that this is a very serious crisis in the banking system that will have significant knock-on effects on the real economy,"" Paul Ashworth, chief North America economist at Capital Economics said.', 'In an appearance before politicians in Washington, US Treasury Secretary Janet Yellen said that depositors should have confidence in the system, while acknowledging the severity of the episode.', '""We felt that there was serious risk of contagion that could have brought down and triggered runs on many banks and that\'s something, given that our judgement is that the banking system overall is safe and sound,"" she said.', 'Meanwhile, the vice president of the European Central Bank (ECB), Luis de Guindos, said the banking industry in Europe was ""resilient"" and firms there had ""limited exposure to the institutions of the US"".', 'He spoke as the ECB announced a further increase to interest rates from 2.5% to 3%, sticking to its plan for a rise despite concerns about how the move might affect the market turmoil.', 'Central banks around the world have sharply raised borrowing costs over the last year to try to curb the pace of overall price rises, or inflation.', 'The moves have hurt the values of the large portfolios of bonds bought by banks when rates were lower, a change that contributed to the collapse of Silicon Valley Bank, and has raised questions about the situation at other firms.', 'The Swiss National Bank on Wednesday said it was extending up to £44bn in emergency funds to troubled lending giant Credit Suisse, which was seen as vulnerable in the wake of the US bank failures.', 'Its shares bounced back more than 15% after big falls a day earlier, while major indexes across Europe also gained.', 'Sir John Gieve, former deputy governor at the Bank of England, told the BBC that central banks were sending a ""message"" that such problems would be contained locally.', ""He added that in Credit Suisse's case, the Swiss National Bank's action was likely to be enough to stop the crisis spreading."", '""What we\'ve seen overnight is the Swiss central bank saying \'no, we will not let this get into a disorderly collapse\',"" he said.', '""I don\'t know what the future for Credit Suisse holds but so far they are still standing and it looks like the Swiss central bank will ensure it\'s standing long enough to rearrange its affairs for the future.""', 'Credit Suisse, founded in 1856, has faced a string of scandals in recent years, including money laundering charges, spying allegations and high profile departures.', 'It lost money in 2021 and again in 2022 and has warned it does not expect to be profitable until next year. Customers pulled millions of dollars from the firm in recent months.', 'White House spokesperson Karine Jean-Pierre said officials had been monitoring the developments at Credit Suisse but its troubles were ""distinct"" from events in the US.', '""Its problems are not related to the current economic situation,"" she said.']"
Video shows moment Russian fighter jet hits US drone over Black Sea,https://www.bbc.com/news/world-europe-64975766,"['The US military has released footage of a Russian jet crashing into one of its drones over the Black Sea.', 'The US said the damage to the large drone meant it had to be brought down into the water near Crimea on Tuesday.', 'Russia denied its Su-27 fighter jet clipped the propeller of the drone, but the video appears to back up the American version of events.', ""It was in the Pentagon's interest to release this video - not least to verify its version of events."", 'The BBC has not seen the events before or after the collision. The US initially said the confrontation lasted around 30-40 minutes, but the released footage lasts for less than a minute.', 'On Wednesday night, US Defence Secretary Lloyd Austin said: ""We remain confident in the facts we\'ve conveyed so far.""', 'He said then the Pentagon was looking at what video could be released. It is not unusual for militaries to take some time to declassify video footage before making it public.', ""Mr Austin previously described Russia's actions as dangerous and reckless - and the edited video released appears to back that up."", 'A feed from a camera fitted under the fuselage of the surveillance drone shows a Russian Su-27 making two extremely close passes while releasing what appears to be fuel as it approaches.', 'In the first pass it seems to mire the lens of the camera. The second pass is even closer - disrupting the video feed from the remotely piloted aircraft.', ""When the picture returns, a blade of the drone's propeller at the back of the aircraft can be seen bent out of shape."", ""National Security Council spokesman John Kirby told the BBC's US broadcast partner CBS that it was not clear whether the Russian action was deliberate or accidental."", 'But he said this did not matter because the moves were ""completely inappropriate, unsafe and unprofessional"".', 'Surveillance flights would continue over the Black Sea, he said, but there was no need for military escorts, which he said were unnecessary and would put pilots at risk.', 'Russia has claimed the drone was approaching its territory, but all we can see from the video is sea, sky and cloud.', 'Moscow appeared to suggest on Tuesday that it had imposed a unilateral no-fly zone over the region as part of its invasion of Ukraine.', 'Russian Ambassador to the US Anatoly Antonov said the drone had ""violated boundaries of the temporary airspace regime established for the special military operation"".', 'But Mr Kirby said the airspace was international and not restricted.', 'In a statement released hours after the crash, the US said Russian jets dumped fuel on the drone several times before the collision.', 'Pentagon spokesman Brig Gen Pat Ryder told reporters the drone was ""unflyable and uncontrollable"", adding the collision also likely damaged the Russian aircraft.', 'Russia\'s defence ministry said the drone crashed after a ""sharp manoeuvre"", and that it was flying with its transponders (communication devices) turned off.', ""The Kremlin has not yet responded to the release of the US video. On Wednesday Russia's security council secretary Nikolai Patrushev said attempts were being made to find and retrieve the remnants of the drone."", 'On Thursday, Russian ships were seen at the site of the downed drone on the Black Sea, US media reported.', 'Mr Kirby said the US was also searching for the aircraft, but stressed that if Russia beat them to it, ""their ability to exploit useful intelligence will be highly minimised"".', 'That message was reiterated by General Mark Milley, America\'s top military general, who said the US has taken ""mitigating measures"" to ensure there was nothing of value on the downed drone.']"
Hong Kong: Two men arrested for possessing 'seditious' children's books,https://www.bbc.com/news/world-asia-china-64985527,"['Two men have been arrested in Hong Kong for the possession of picture books which authorities say are ""seditious"".', 'They are believed to be the first arrested for merely owning the books - after the publishers were jailed last year.', ""Authorities interpreted the books - about sheep trying to hold back wolves from their village - as referring to Hong Kongers and China's government."", ""The arrests are another deterioration of Hong Konger's rights, critics say."", 'Human Rights Watch described the arrests as ""shameful"", and said the territory was using its colonial-era sedition law to clamp down on dissent.', 'Hong Kong media reported police arrested the men, aged 38 and 50, at their apartments on 13 March. They raided their homes in Kowloon and Hong Kong island and seized multiple copies of the books, which are part of a series titled Yangcun.', 'Both men have been released on bail but must report to the police next month, authorities said.', 'Officials also confirmed the books were the same that had been the subject of a high-profile trial last year - where a court had to determine if the Yangcun books advocated for rebellion against the state', 'The court ruled the picture books had ""seditious intention"" and jailed five speech therapists to 19 months in prison for publishing the books.', ""The group, aged between 25 and 28, had produced cartoon e-books that some interpreted as trying to explain Hong Kong's pro-democracy movement to children."", 'In one of the three books, a village of sheep fight back against a group of wolves who are trying to take over their settlement.', 'Hong Kong is a Special Administrative Region of China. Under its ""one country, two systems"" principle, residents are supposed to enjoy certain freedoms unavailable on the mainland.', ""But these rights have been eroded since Beijing in 2020 imposed a national security law in response to the months-long Hong Kong protests against Beijing's control in 2019."", ""Beijing said the law was needed to bring stability to the city - but critics said it was designed to squash dissent, and weaken Hong Kong's autonomy."", 'In January, police arrested a 24-year-old student for sedition after he posted a download link of the Yangcun series on Facebook - accompanied by alleged inflammatory statements, local outlet Mingpao reported.']"
Russia Ukraine invasion: Indians are braving war to study in Ukraine,https://www.bbc.com/news/world-asia-india-64973574,"[""Rishi Dwivedi is one of thousands of Indian students evacuated from Ukraine a year ago - but he's now back studying in Lviv, despite the threat the war poses to his safety."", '""Air raid sirens alerting us about incoming missile or drone attacks go off as many as four times a day,"" Mr Dwivedi, 25, told the BBC.', ""The fifth-year student, from Kannauj in the northern Indian state of Uttar Pradesh, is pursuing a bachelor's degree in medicine and surgery at the Lviv National Medical University."", 'He was rescued when Russia invaded a year ago - but decided to return last October to finish his degree.', ""After a 22-year-old Indian medical student was killed in shelling at the start of the war, India evacuated 23,000 of its nationals who'd been trapped, including 18,000 students."", 'But large numbers - most of them medics - have since gone back, defying government advice. They say they have little choice if they are to work as doctors.', 'Mr Dwivedi is among 1,100 Indians currently living in Ukraine. Most are students in cities like Lviv, Uzhgorod and Ternopil in the west of the country - within range of Russian air attacks but a long way from fighting in the east.', ""They're not the only foreigners to return. The BBC met African students who'd gone back to Lviv, and others are considering whether they should too."", '""We wonder if we\'ll be able to finish our course. When helicopters or planes fly over us, we are unable to sleep. We worry if there is going to be an attack,"" says Shrishti Moses, a medical student in her fourth year in Lviv.', ""Power supply is patchy, so Ms Moses, who's from the northern Indian city of Dehradun, had to move to a more expensive apartment in a neighbourhood with regular electricity."", 'Given these conditions, why return to Ukraine?', ""Experts say that most Indian medical students abroad want to return to their country after graduating. But for that, they need permission from the National Medical Commission (NMC), India's medical education regulator."", 'When the war forced these students out of their education, India\'s education minister said the government would ""do everything possible"" to ""make them doctors"".', 'The Indian Medical Association asked for such students to be accommodated in Indian colleges. State governments made similar demands.', 'India\'s external affairs ministry even asked for ""Indian private medical institutions to enrol returnee students… on a one-time exceptional basis"".', 'But the health ministry ruled otherwise. It said in July that there were no provisions to ""accommodate or transfer medical students from any foreign medical institutes to Indian medical colleges"".', ""Many students who returned from Ukraine aren't even seeking admission to Indian colleges - because of the fierce competition to gain entry and the high cost of medical courses."", 'Vaishali Sethia, who is studying medicine at the Ternopil National Medical University, left Ukraine via the Hungarian border in early March last year and returned in November.', '""The NMC had issued an order declaring that Indian students who had taken admission in foreign universities after November 2021 would have to finish the course in the same university if they wanted their degrees to be recognised in India,"" says Ms Sethia, who\'s from Faridabad just outside Delhi.', 'She said she gained admission in December 2021, just a couple of months before war forced her to leave.', '""People keep asking us why we returned Ukraine. We had to,"" she says.', ""Last month, India's health ministry said 3,964 Indian students who were in Ukrainian universities when the war began, had shifted to universities mostly outside Ukraine."", 'About 170 students have continued studying in Ukrainian universities that have temporarily shifted their operations to safer areas.', ""The health ministry also announced that Indian students who had completed their medical course on or before 30 June 2022, were eligible to sit the Foreign Medical Graduate Examination - an exam for students who've graduated abroad and want a licence to practice in India."", ""But all this means little to students who have now returned to Ukraine. Those who haven't done so find themselves in a strange limbo."", ""Dipak Kumar, who lives in India's northern state of Bihar, says that though he would like to go back to Ukraine and resume his studies, he can't because of family pressure."", '""My family opposes the move because they fear for my safety,"" he says.', 'Dipak says he could have secured admission to a private medical college in India, but chose not to because of the high fees.', '""We did not even have the money required for Ukraine, so my father sold some of our land to pay my fees,"" he says.', 'Students the BBC spoke to say that the fees for the entire medical course in Ukraine works out to be less than half of what it costs to study in a private institution in India.', 'Mrityunjay Kumar, whose son Shashank has now returned to study in Lviv, says that while Indian private colleges charge around 7.2m rupees ($87,000; £72,000) for the course, in Ukraine it costs closer to 2.5m rupees.', 'Back in Lviv, Rishi Dwivedi says he now gets less attention since going back.', '""We students were in the limelight for the month that we returned. People then stopped bothering about us.""', 'But every day is filled with uncertainty about the future.', '""We have told our parents that in case the war escalates again and we need to run, then we are on our own now. We will try and find our way out from nearby border areas,"" he says.', 'Additional reporting by Claire Press & Kevin McGregor', 'BBC News India is now on YouTube. Click here to subscribe and watch our documentaries, explainers and features.']"
Australian shreds record for longest surf session,https://www.bbc.com/news/world-australia-64984949,"['An Australian man has broken the world record for the longest surfing session - and was continuing to ride waves until Friday evening local time.', ""Blake Johnston's record break came after 30 hours and 11 minutes in the water at Cronulla beach in south Sydney."", 'Describing himself as ""pretty cooked"", Johnston told reporters he would keep going as ""I still have a job to do"".', 'His board-riding marathon has raised some $A240,000 (£132,000) for charity.', 'With spotlights to illuminate a section of Cronulla\'s surf known as ""The Alley"", Johnston kept going overnight and by Friday lunchtime had ridden over 600 waves.', 'The 40-year-old former pro surfer and distance runner faces the risk of blindness, infected ears and dehydration, as well as sleep deprivation, hypothermia, shark attack and jellyfish stings.', 'He emerged briefly from the sea at lunchtime on Friday for a medical check-up, and to receive eye-drops.', '""I surfed at two in the morning with him, and the lights actually went out so it was pitch black,"" his brother Ben told the Australian Broadcasting Corporation.', '""There were a whole bunch of jellyfish out there, so it was interesting to say the least.""', 'Speaking ahead of his challenge, Johnston said: ""I thought, I could just do it. I can run for 40 hours,""', '""But, this way, I can surf with people, bring in the community and make a difference for the future.""', ""Johnston is fundraising for the Chumpy Pullin Foundation, set up in the memory of Australian Olympic snowboarder Alex 'Chumpy' Pullin who drowned off the Gold Coast while spearfishing in 2020."", 'He is also supporting mental health charities, partly in tribute to his father who took his own life a decade ago.']"
Indonesia football crush: Families devastated as police acquitted,https://www.bbc.com/news/world-asia-64973136,"['An Indonesian court has acquitted two policemen charged over the Kanjuruhan stadium crush last year, angering relatives of victims in the tragedy.', 'Police had been blamed for triggering the crush that night after firing tear gas at spectators on the field.', 'That led to a stampede which killed 135 people - the second deadliest football disaster in history.', 'Devastated families in the courtroom on Thursday erupted in anger and disbelief following the verdict.', 'A woman whose teenage son was killed in the crush said: ""Many people have died, how come they are now free?""', 'Susiani had clutched a photograph of her 16-year-old son throughout the court hearing. She looked shattered when the verdict was read out.', 'The court sentenced one officer to 18 months prison for criminal negligence, but found two other senior policemen not guilty of the same charges.', 'One commander, Bambang Sidik Achmadi, had been accused of ordering his police unit to fire tear gas at match attendees. But the local court in East Java found that such charges ""had not been proven"".', 'Police commissioner Wahyu Setyo Pranoto was also acquitted.', '""There is no causal relationship between the defendant\'s actions and the victim. The negligence element is also not proven. So the defendant should be declared not guilty,"" said chief judge Abu Achmad Sidqi Amsya.', 'Human rights groups have criticised the verdict, questioning the legal procedure. Families of the victims had been critical of the trial since it started in January behind closed doors.', 'Mr Irfan, head of local rights group Kontras, said it was ""reasonable to suspect that the panel of judges is acting unfairly in the trial process of this case"".', 'He urged prosecutors to appeal the decision.', 'Hasdarmawan, the police officer who was found guilty, was sentenced to 18 months - half the sentence sought by prosecutors.', 'The chief judge said he had failed to ""predict a situation that was actually quite easy to anticipate"".', '""There was an option not to fire [the tear gas] to respond to the supporters\' violence,"" judge Amsya said.', ""Last October, supporters of the home team Arema FC invaded the stadium's pitch after their side suffered a 3-2 defeat to their fierce East Java rivals Persebaya Surabaya."", 'Police responded by firing tear gas at those on the pitch and fans in the stadium, who tried to flee. That prompted a crowd crush at the narrow exits of the stadium.', 'At least 40 children were among those killed that night. More than 600 people were injured.', 'Last week, the court had jailed two football club officials over the tragedy.', ""Abdul Haris, the chairman of the home club's organising committee, was sentenced to 18 months in prison. The club's security officer Suko Sutrisno, was jailed for a year."", 'Club officials had failed to put in place adequate safety measures, the judge said.', 'The Kanjuruhan disaster has been a major source of national grief in Indonesia. It is the second-deadliest football disaster in history, after the 1964 stampede in Lima, Peru where 328 people died.', ""A report last year by Indonesia's human rights body, Komnas HAM, ruled that the tragic incident had been sparked by police's tear gas."", 'A police chief and nine elite officers were removed from their posts after the incident.']"
Ukraine will remember who backed us - foreign minister,https://www.bbc.com/news/world-europe-64976079,"['Countries that ""mistreated Ukraine"" will be held to account after the war ends, Ukraine\'s Foreign Minister Dmytro Kuleba has warned.', 'In a BBC interview he said the choice every nation made following Russia\'s full-scale invasion will be ""taken into account in building future relations"".', 'He also warned delays of Western weapon deliveries would cost Ukrainian lives.', '""If one delivery is postponed for one day, it means that someone is going to die on the frontline,"" he said.', 'In a wide-ranging interview, Mr Kuleba also discussed how he believes the war will end, the role of China in the war, and his disappointment that Pope Francis has yet to visit his country in war time.', ""Mr Kuleba spoke to the BBC in Ukraine's imposing, Soviet-era foreign ministry at the heart of Kyiv, now protected by sandbags and armed guards."", ""Although Ukraine has received military and economic support from Western powers since Russia's invasion, many countries in Africa, Asia and South America have stayed on the sidelines."", 'Some are historically sympathetic to Russia, some are concerned about the economic costs of the war, and others believe the West is prolonging the fighting unnecessarily.', 'But Mr Kuleba made clear that countries which failed to support Ukraine now - those, he said, which had ""misbehaved in the course of this war and mistreated Ukraine"", would pay a price in the future.', ""Ukraine may well be dependent on Western aid and military support in the medium to long term and so its diplomatic disapproval may not worry some countries. But in peacetime Ukraine's huge grain exports give it substantial economic leverage, particularly in parts of the developing world."", '""If anyone in the world thinks that the way this or that country behaved - or treated Ukraine at the darkest moment of its history - will not be taken into account in building future relations, these people just don\'t know how diplomacy works,"" he said.', '""War is a time when you have to make a choice. And every choice has been recorded.""', 'Mr Kuleba said Western allies were not giving Ukraine military support fast enough because they had not been ready for a conflict on the same scale as World War One. And what he needed was artillery shells.', '""We want partners to act faster,"" he said. ""And if one delivery is postponed for one day, it means that someone is going to die on the front line.', '""It means that someone who could have been still alive is going to die.""', 'Nowhere has the demand for ammunition been greater than in the eastern city of Bakhmut where Ukrainian forces have been holding out for more than seven months against repeated Russian attempts to seize the city.', 'This, Mr Kuleba said, was ""emotionally very challenging"" because of the losses suffered.', 'But if Bakhmut fell, then other cities would be next: ""So in order to save lives there… we have to fight in Bakhmut as long as we physically can.""', 'There was no sign, he said, of Russia being willing to negotiate an end to the fighting but he added: ""Every war ends at the negotiating table... But my goal as a foreign minister is to make sure that Ukraine reaches the table after a defining success on the battlefield.""', 'And that involves building the strongest possible coalition of support, an alliance that he feels does not include the Pope. Mr Kuleba said it was not for him but for God to judge the Holy Father but, he said: ""We deeply regret that the Pope has not found an opportunity to visit Ukraine since the beginning of the war.""', ""China, too, has thus far resisted Ukraine's lobbying for a meeting between China's President Xi Jinping and Ukraine's President Volodymyr Zelensky, even though China's leader is expected to visit Moscow shortly."", 'Mr Kuleba said his president was ready for a telephone conversation with Mr Xi and added: ""I don\'t think China has reached the moment now… when it\'s ready to arm Russia.""', 'As for the United States, some analysts have speculated support for Ukraine might reduce after next year\'s presidential elections. But Mr Kuleba said: ""I think we can survive any Republican voice"", and insisted ""the biggest luxury that Ukraine enjoys in the United States is the bipartisan support in both Democratic and Republican camps"".', ""As his country's top diplomat, Dmytro Kuleba remains quietly confident Ukraine can maintain the backing of the allies that count: the ones which provide tangible support."", 'And, he says, Ukraine has one crucial factor on its side: ""Historically, Ukraine was unfairly under-appreciated, and I regret it took a bloodshed and a devastating war for the world to realise how cool we are.', '""And we will always be cool. But it just took you too much time to realise that.""']"
Australia plans to buy 220 cruise missiles from US,https://www.bbc.com/news/world-australia-64984948,"['The US State Department has approved the sale of some 220 cruise missiles to Australia in a deal valued at $895m.', 'The proposed sale, which requires sign-off from Congress, includes Tomahawk missiles and technical support.', 'The missiles will be used by the Virginia-class submarines Australia will acquire from the US under the Aukus defence pact.', 'Australian Defence Minister Richard Marles said the missiles would provide ""a really important capability"".', 'The deal would enable the country ""to reach out beyond our shores further and that\'s ultimately how we are able to keep Australia safe"" the minister told the Australian Broadcasting Corporation (ABC).', ""The missiles could be initially deployed on Australia's Hobart-class destroyers before the first Aukus submarines are delivered, ABC reported."", 'The Pentagon said the sale would ""improve Australia\'s capability to interoperate with US maritime forces and other allied forces as well as its ability to contribute to missions of mutual interest"".', 'The Aukus deal, unveiled on Monday in San Diego, binds together Australia, the UK and the US in a far-reaching defence alliance which will confront Chinese military expansion in the region.', 'China has condemned the pact as ""risking a new arms race and nuclear proliferation"".', 'A number of senior Australian political figures have also voiced concerns.', 'Former prime minister Paul Keating attacked Aukus as ""worst international decision"" by an Australian Labor Party government since World War I, which would send the country down ""a dangerous path"".', 'Another former leader, Malcolm Turnbull, also questioned whether the UK was a feasible long-term partner in the treaty given ""fundamental existential problems"" with its economy.', '""You\'ve got to ask yourself whether Britain is going to be able to sustain investment in its navy and its military in the years ahead,"" Mr Turnbull said in a speech at the Defence Club in Canberra.']"
France pension protests: Clashes after Macron orders rise in pension age without vote,https://www.bbc.com/news/world-europe-64984374,"['Police in Paris have clashed with protesters after the French government decided to force through pension reforms without a vote in parliament.', 'Crowds converged on Place de la Concorde in response to raising the retirement age from 62 to 64.', 'The plans had sparked two months of heated political debate and strikes.', 'Finally, Prime Minister Élisabeth Borne invoked article 49:3 of the constitution - allowing the government to avoid a vote in the Assembly.', 'The decision was taken minutes before MPs were scheduled to vote on the controversial bill, because there was no guarantee of winning a majority.', 'The move caused fury among opposition politicians. Many jeered the prime minister, sang La Marseillaise and held up signs of protest in parliament.', ""A no-confidence motion will be filed against President Emmanuel Macron's government, far-right opposition leader Marine Le Pen has suggested."", 'Leader of left-wing party La France Insoumise (LFI), Mathilde Panot, tweeted that Mr Macron had plunged the country into a government crisis, without parliamentary or popular legitimacy.', 'Thousands of people came out on the streets of Paris and other French cities to reject the move, singing the national anthem and waving trade union flags.', 'Some protesters clashed with police as evening fell. A fire was lit in the middle of the Place de la Concorde and police with shields and batons fired tear gas and moved to clear the square.', 'By nightfall, 120 people had been arrested, Paris police told AFP news agency.', 'But unions vowed to maintain their opposition to the pension changes, with the Confédération Générale du Travail (CGT) saying another day of strikes and demonstrations was being planned for Thursday 23 March.', 'The constitutional procedure that has prompted all this anger may sound obscure, but it is very much part of the political vocabulary in France.', 'Even though Mr Macron was re-elected last year on a platform of retirement reforms, his ruling coalition has no majority in the Assembly and would have needed support from the Republicans party to pass the pension changes.', ""Officials from Mr Macron's Renaissance party spent the morning desperately whipping members into line in a bid to pass their bill."", 'They knew some of their MPs could vote against or abstain, faced with the evident unpopularity of the bill, so they resorted to special constitutional powers.', 'But whenever a government invokes the 49:3, it can be sure it will be accused straight away of riding roughshod over the will of the people.', 'In fact, it has been used precisely 100 times in the more than 60 years of the Fifth Republic, and by governments of all shades.', ""Obviously, it tends to be used more frequently by governments that do not have an in-built majority in parliament, such as the socialist Michel Rocard's in the 1980s and Élisabeth Borne's today."", 'She has in fact already used it several times, but those occasions were for public finance bills which were less controversial.', 'Use of the procedure is a way to bypass a vote which might be lost, but the down side for the government is that the opposition parties can immediately table a vote of no-confidence.', 'If these are voted through, the government falls. That is a theoretical possibility now, but unlikely, because it would mean the far-right, the left and much of the conservative opposition all coming together.', 'The dispute once again makes France look unreformable. By comparison with other countries in Europe, the change to the pension age is far from dramatic.', 'But the bill is regularly described by opponents as ""brutal"", ""inhuman"" and ""degrading"".', ""Morale in France is low and getting lower, and people see retirement as a bright spot in the future. But many feel that this is a rich man's government taking even that away.""]"
