Product ID,Model,Quantity,Image,Price,Link,Name_en,Description_en,Meta_title_en,Meta_description_en,Additional_Image,Product_Attributes,Brand,Product_Category,Product_Option
,SX5545-912,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_45342b5e-6e7a-4e59-8733-8ad1463dc5ca_540x.jpg?v=1656291677,US$61,https://www.kickscrew.com/products/nike-jordan-everyday-max-crew-3-sx5545-912,Air Jordan Everyday Max Crew Socks Unisex 3 Pairs White Blue Yellow SX5545-912,Air Jordan Everyday Max Crew Socks Unisex 3 Pairs White SX5545-912,Air Jordan Everyday Max Crew Socks Unisex 3 Pairs White Blue Yellow ,Air Jordan Everyday Max Crew Socks Unisex 3 Pairs White SX5545-912,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_45342b5e-6e7a-4e59-8733-8ad1463dc5ca_540x.jpg?v=1656291677|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_26d66bb4-c3f4-4897-b432-211392b38c59_540x.jpg?v=1656291677|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_45342b5e-6e7a-4e59-8733-8ad1463dc5ca_540x.jpg?v=1656291677|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_26d66bb4-c3f4-4897-b432-211392b38c59_540x.jpg?v=1656291677,PRODUCTION INFORMATION:MODEL NO:SX5545-912|PRODUCTION INFORMATION:RELEASE DATE:2022-01-26|PRODUCTION INFORMATION:SERIES:Air Jordan 3|PRODUCTION INFORMATION:SEASON:All Season|PRODUCTION INFORMATION:THICKNESS:Moderate Thickness|PRODUCTION INFORMATION:CLOSURE:Lacing|PRODUCTION INFORMATION:COLOR WAY:/Blue/Yellow,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:S:+US$74.0000.100:1:+0.00000000:1:|select:Sizes:M:+US$61.0000.100:1:+0.00000000:1:
,CU7914-010,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_fa5cd0b4-9540-4390-8ab3-91f27e655572_540x.jpg?v=1669626051,US$57,https://www.kickscrew.com/products/jordan-zion-flight-ventilate-sports-stocking-gs-1-double-pack-black-cu7914-010,Air Jordan Zion Flight Ventilate Sports Stocking CU7914-010,Not Found,Air Jordan Zion Flight Ventilate Sports Stocking CU7914-010,"KICKS CREW is a global trusted platform for sneakers and apparel. Shop the largest selection from newest, limited edition sneakers to sports sneakers and apparel.\n",https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_fa5cd0b4-9540-4390-8ab3-91f27e655572_540x.jpg?v=1669626051|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_40d2bebb-64d6-4660-ac7c-f5ba3c2e3f01_540x.jpg?v=1669626051|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_0684a73b-f1c1-4369-8f6d-b7fa9921ca5d_540x.jpg?v=1669626051|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_fa5cd0b4-9540-4390-8ab3-91f27e655572_540x.jpg?v=1669626051|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_40d2bebb-64d6-4660-ac7c-f5ba3c2e3f01_540x.jpg?v=1669626051|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_0684a73b-f1c1-4369-8f6d-b7fa9921ca5d_540x.jpg?v=1669626051,PRODUCTION INFORMATION:MODEL NO:CU7914-010|PRODUCTION INFORMATION:RELEASE DATE:2022-01-26|PRODUCTION INFORMATION:SERIES:Jordan Zion|PRODUCTION INFORMATION:SEASON:All Season|PRODUCTION INFORMATION:THICKNESS:Moderate Thickness|PRODUCTION INFORMATION:CLOSURE:Lacing|PRODUCTION INFORMATION:COLOR WAY:Black,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:XL:+US$57.0000.100:1:+0.00000000:1:
,SX5545-957,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_f35bc3ac-1ad3-48f4-a3c8-a73bdb51d5de_540x.jpg?v=1671009985,US$64,https://www.kickscrew.com/products/air-jordan-logo-13-sx5545-957,Jordan Solid Color Embroidered Sports Socks Mens 1 Pack 3 pairs SX5545-957,SX5545-957,Jordan Solid Color Embroidered Sports Socks Mens 1 Pack 3 pairs SX554,SX5545-957,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_f35bc3ac-1ad3-48f4-a3c8-a73bdb51d5de_540x.jpg?v=1671009985|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_f35bc3ac-1ad3-48f4-a3c8-a73bdb51d5de_540x.jpg?v=1671009985,PRODUCTION INFORMATION:MODEL NO:SX5545-957,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:M:+US$64.0000.100:1:+0.00000000:1:|select:Sizes:XL:+US$64.0000.100:1:+0.00000000:1:
,SX5545-011,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_2107b767-a905-49a4-8850-d5bccb7b73ef_540x.jpg?v=1667225135,US$57,https://www.kickscrew.com/products/air-jordan-logo-3-sx5545-011,Jordan Solid Color Embroidered Athletic Socks Unisex 3 Pairs Black + Red + White SX5545-011,SX5545-011,Jordan Solid Color Embroidered Athletic Socks Unisex 3 Pairs Black + R,SX5545-011,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_2107b767-a905-49a4-8850-d5bccb7b73ef_540x.jpg?v=1667225135|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_5d405c41-35dd-43e2-9351-cb13d60d63ba_540x.jpg?v=1667225135|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_2107b767-a905-49a4-8850-d5bccb7b73ef_540x.jpg?v=1667225135|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_5d405c41-35dd-43e2-9351-cb13d60d63ba_540x.jpg?v=1667225135,PRODUCTION INFORMATION:MODEL NO:SX5545-011,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:M:+US$57.0000.100:1:+0.00000000:1:|select:Sizes:L:+US$66.0000.100:1:+0.00000000:1:|select:Sizes:XL:+US$78.0000.100:1:+0.00000000:1:
,CU7914-393,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_d4ab7b2d-850a-436b-aeb6-3b669947969d_540x.jpg?v=1667279348,US$57,https://www.kickscrew.com/products/air-jordan-logo-1-cu7914-393,Jordan Brand Sports Breathable Socks Unisex One Pair Blue CU7914-393,CU7914-393,Jordan Brand Sports Breathable Socks Unisex One Pair Blue CU7914-393,CU7914-393,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_d4ab7b2d-850a-436b-aeb6-3b669947969d_540x.jpg?v=1667279348|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_d4ab7b2d-850a-436b-aeb6-3b669947969d_540x.jpg?v=1667279348,PRODUCTION INFORMATION:MODEL NO:CU7914-393,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:S:+US$60.0000.100:1:+0.00000000:1:|select:Sizes:M:+US$57.0000.100:1:+0.00000000:1:|select:Sizes:L:+US$59.0000.100:1:+0.00000000:1:
,DX9632-100,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_876af7f5-114c-4335-8701-54a31352f3b5_540x.jpg?v=1666233503,US$57,https://www.kickscrew.com/products/air-jordan-everyday-crew-socks-3-pairs-dx9632-100,Air Jordan Everyday Crew Socks (3 pairs) DX9632-100,DX9632-100,Air Jordan Everyday Crew Socks (3 pairs) DX9632-100,DX9632-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_876af7f5-114c-4335-8701-54a31352f3b5_540x.jpg?v=1666233503|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_0d04bf9f-fcf9-4322-a34f-a1f0b15f347c_540x.jpg?v=1666233503|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_ada44b14-0c66-4e87-9cb4-fc471d714660_540x.jpg?v=1666233503|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_876af7f5-114c-4335-8701-54a31352f3b5_540x.jpg?v=1666233503|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_0d04bf9f-fcf9-4322-a34f-a1f0b15f347c_540x.jpg?v=1666233503|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_ada44b14-0c66-4e87-9cb4-fc471d714660_540x.jpg?v=1666233503,PRODUCTION INFORMATION:MODEL NO:DX9632-100,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:S:+US$57.0000.100:1:+0.00000000:1:|select:Sizes:M:+US$58.0000.100:1:+0.00000000:1:|select:Sizes:L:+US$61.0000.100:1:+0.00000000:1:|select:Sizes:XL:+US$57.0000.100:1:+0.00000000:1:
,DX9655-100,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_240f2d76-e699-4051-a883-cdb093d3d4dc_540x.jpg?v=1666263353,US$57,https://www.kickscrew.com/products/air-jordan-everyday-ankle-socks3-pairs-dx9655-100,Air Jordan Everyday Ankle Socks(3 Pairs) DX9655-100,DX9655-100,Air Jordan Everyday Ankle Socks(3 Pairs) DX9655-100,DX9655-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_240f2d76-e699-4051-a883-cdb093d3d4dc_540x.jpg?v=1666263353|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_f8964a95-c1be-4003-a034-964c76bb57fa_540x.jpg?v=1666263353|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_1829fd84-ee4a-4213-9322-ea971b6a9357_540x.jpg?v=1666263353|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_240f2d76-e699-4051-a883-cdb093d3d4dc_540x.jpg?v=1666263353|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_f8964a95-c1be-4003-a034-964c76bb57fa_540x.jpg?v=1666263353|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_1829fd84-ee4a-4213-9322-ea971b6a9357_540x.jpg?v=1666263353,PRODUCTION INFORMATION:MODEL NO:DX9655-100,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:S:+US$57.0000.100:1:+0.00000000:1:|select:Sizes:M:+US$60.0000.100:1:+0.00000000:1:|select:Sizes:L:+US$57.0000.100:1:+0.00000000:1:|select:Sizes:XL:+US$57.0000.100:1:+0.00000000:1:
,DR9817-300,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_8e3888bd-bb33-467e-a5b4-960e0436c44f_540x.jpg?v=1666259324,US$61,https://www.kickscrew.com/products/air-jordan-x-j-balvin-dr9817-300,Air Jordan x J Balvin DR9817-300,DR9817-300,Air Jordan x J Balvin DR9817-300,DR9817-300,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_8e3888bd-bb33-467e-a5b4-960e0436c44f_540x.jpg?v=1666259324|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_6502cecc-e9da-4492-bf13-40a477bb1233_540x.jpg?v=1666259324|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_ac59f699-5c09-4f8b-bb14-028d1f01d923_540x.jpg?v=1666259324|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_8e3888bd-bb33-467e-a5b4-960e0436c44f_540x.jpg?v=1666259324|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_6502cecc-e9da-4492-bf13-40a477bb1233_540x.jpg?v=1666259324|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_ac59f699-5c09-4f8b-bb14-028d1f01d923_540x.jpg?v=1666259324,PRODUCTION INFORMATION:MODEL NO:DR9817-300,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:XL:+US$61.0000.100:1:+0.00000000:1:
,SX5545-500,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_870f1311-7eba-4f7a-a970-58c31342d7bb_540x.jpg?v=1666819743,US$57,https://www.kickscrew.com/products/air-jordan-solid-color-logo-basketball-casual-breathable-sports-socks-3-pairs-purple-brown-orange-sx5545-500,Air Jordan Solid Color Logo Basketball Casual Breathable Sports Socks 3 Pairs Purple / Brown / Orange SX5545-500,SX5545-500,Air Jordan Solid Color Logo Basketball Casual Breathable Sports Socks ,SX5545-500,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_870f1311-7eba-4f7a-a970-58c31342d7bb_540x.jpg?v=1666819743|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_50d7b198-b638-4a12-b145-386e6e90542a_540x.jpg?v=1666819743|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_870f1311-7eba-4f7a-a970-58c31342d7bb_540x.jpg?v=1666819743|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_50d7b198-b638-4a12-b145-386e6e90542a_540x.jpg?v=1666819743,PRODUCTION INFORMATION:MODEL NO:SX5545-500|PRODUCTION INFORMATION:RELEASE DATE:2022-06-23|PRODUCTION INFORMATION:SERIES:Air Jordan 3|PRODUCTION INFORMATION:SEASON:All Season|PRODUCTION INFORMATION:THICKNESS:Moderate Thickness|PRODUCTION INFORMATION:COLOR WAY:Default Color,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:S:+US$64.0000.100:1:+0.00000000:1:|select:Sizes:M:+US$57.0000.100:1:+0.00000000:1:|select:Sizes:L:+US$57.0000.100:1:+0.00000000:1:|select:Sizes:XL:+US$63.0000.100:1:+0.00000000:1:
,SX5545-917,100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_943a6cb2-7bd0-4ef8-8ef5-bfaa029dfab0_540x.jpg?v=1666820641,US$57,https://www.kickscrew.com/products/air-jordan-everyday-max-crew-solid-color-logo-basketball-casual-sports-breathable-sports-socks-3-pairs-unisex-pink-light-blue-yellow-sx5545-917,Air Jordan Everyday Max Crew Solid Color Logo Basketball Casual Sports Breathable Sports Socks 3 Pairs Unisex Pink / Light Blue / Yellow SX5545-917,SX5545-917,Air Jordan Everyday Max Crew Solid Color Logo Basketball Casual Sports,SX5545-917,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_943a6cb2-7bd0-4ef8-8ef5-bfaa029dfab0_540x.jpg?v=1666820641|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_42e55344-6128-4bac-a314-52e6d327322a_540x.jpg?v=1666820641|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_7ebc24fd-6411-4814-9eb5-40649f8d6a63_540x.jpg?v=1666820641|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/3_60154be8-fb10-4098-9181-f3ffd7cb80e4_540x.jpg?v=1666820641|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_943a6cb2-7bd0-4ef8-8ef5-bfaa029dfab0_540x.jpg?v=1666820641|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/1_42e55344-6128-4bac-a314-52e6d327322a_540x.jpg?v=1666820641|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/2_7ebc24fd-6411-4814-9eb5-40649f8d6a63_540x.jpg?v=1666820641|https://cdn.shopify.com/s/files/1/0603/3031/1875/products/3_60154be8-fb10-4098-9181-f3ffd7cb80e4_540x.jpg?v=1666820641,PRODUCTION INFORMATION:MODEL NO:SX5545-917|PRODUCTION INFORMATION:RELEASE DATE:2022-06-17|PRODUCTION INFORMATION:SERIES:Air Jordan 3|PRODUCTION INFORMATION:SEASON:Universal|PRODUCTION INFORMATION:THICKNESS:Moderate Thickness|PRODUCTION INFORMATION:COLOR WAY:Default Color,Air Jordan,ACCESSORIES|ACCESSORIES>Stocking,select:Sizes:S:+US$68.0000.100:1:+0.00000000:1:|select:Sizes:M:+US$74.0000.100:1:+0.00000000:1:|select:Sizes:L:+US$80.0000.100:1:+0.00000000:1:|select:Sizes:XL:+US$57.0000.100:1:+0.00000000:1:
